Constitution,Cine face parte din Consiliul Superior al Magistraturii?,"Consiliul Superior al Magistraturii este alcătuit din 19 membri, din care: 1) unii aleși din adunările generale ale magistraților și validați de Senat; aceștia fac parte din două secții, una pentru judecători și una pentru procurori; prima secție este compusă din 9 judecători, iar cea de-a doua din 5 procurori; 2) reprezentanți ai societății civile, specialiști în domeniul dreptului, care se bucură de reputație profesională și morală, aleși de Senat; aceștia participă numai la lucrările în plen; 3) ministrul justiției, președintele Înaltei Curți de Casație și Justiție și procurorul general al Parchetului de pe lângă Înalta Curte de Casație și Justiție."
Constitution,Care este rolul Consiliului Superior al Magistraturii?,Consiliul Superior al Magistraturii este garantul independenței justiției.
Constitution,Ce știți despre economia României?,"Economia României este economie de piață, bazată pe libera inițiativă și concurență. În acest sens, Statul trebuie să asigure: 1) libertatea comerțului, protecția concurenței loiale și crearea cadrului favorabil valorificării tuturor factorilor de producție; 2) protejarea intereselor naționale în activitatea economică, financiară și valutară; 3) exploatarea resurselor naturale, cu respectarea principiului dezvoltării durabile; 4) restaurarea și protecția mediului înconjurător, precum și menținerea echilibrului ecologic; 5) crearea condițiilor necesare pentru creșterea calității vieții; 6) aplicarea politicilor de dezvoltare regională în concordanță cu obiectivele Uniunii Europene."
Constitution,Ce știți despre proprietatea publică?,"Proprietatea publică este garantată și ocrotită prin lege și aparține statului sau unităților administrativ-teritoriale. Bunurile proprietate publică sunt inalienabile. Bogățiile de interes public ale subsolului, spațiului aerian, ape, pădurilor și parcurilor naționale, apele cu potențial energetic valorificabil, plajele, marea teritorială, resursele naturale ale zonei economice și ale platoului continental, precum și alte bunuri stabilite prin lege, constituie obiect exclusiv al proprietății publice."
Constitution,Ce știți despre bugetul public național?,"Bugetul public național cuprinde bugetul de stat, bugetul asigurărilor sociale de stat și bugetele locale ale comunelor, ale orașelor și ale județelor. Guvernul elaborează anual proiectul bugetului de stat și îl supune aprobării Parlamentului."
Constitution,Care este rolul Curții de Conturi?,"Curtea de Conturi exercită controlul asupra modului de formare, de administrare și de întrebuințare a resurselor financiare ale statului și ale sectorului public."
Constitution,Ce este Curtea Constituțională?,Curtea Constituțională este garantul supremației Constituției.
Constitution,Care este componența Curții Constituționale?,"Curtea Constituțională se compune din nouă judecători, numiți pentru un mandat de 9 ani, care nu poate fi prelungit sau înnoit. Trei judecători sunt numiți de Camera Deputaților, trei de Senat și trei de Președintele României. Judecătorii Curții Constituționale aleg, prin vot secret, președintele acesteia, pentru o perioadă de 3 ani. Curtea Constituțională se înnoiește cu o treime din judecători, ei, din 3 in 3 ani, în condițiile prevăzute de legea organică a Curții."
Constitution,Ce condiții trebuie să îndeplinească pentru numire judecătorii Curții Constituționale?,"Judecătorii Curții Constituționale trebuie să aibă pregătire juridică superioară, înaltă competență profesională și o vechime de cel puțin 18 ani în activitatea juridică sau în învățământul juridic superior."
Constitution,Care sunt atribuțiile Curții Constituționale?,"Curtea Constituțională are următoarele atribuții: - a) se pronunță asupra constituționalității legilor, înainte de promulgarea acestora - b) se pronunță asupra constituționalității tratatelor sau altor acorduri internaționale - c) se pronunță asupra constituționalității regulamentelor Parlamentului - d) hotărăște asupra excepțiilor de neconstituționalitate privind legile și ordonanțele - e) soluționează conflictele juridice de natură constituțională dintre autoritățile publice - f) veghează la respectarea procedurii pentru alegerea Președintelui României și confirmă rezultatele sufragiului - g) constată existența împrejurărilor care justifică interimatul în exercitarea funcției de Președinte al României și comunică cele constatate Parlamentului și Guvernului - h) dă aviz consultativ pentru propunerea de suspendare din funcție a Președintelui României"
Constitution,Ce știți despre deciziile Curții Constituționale?,"Deciziile Curții Constituționale se publică în Monitorul Oficial al României. De la data publicării, deciziile sunt general obligatorii și au putere numai pentru viitor."
Constitution,Ce știți despre inițiativa revizuirii Constituției României?,"Revizuirea Constituției poate fi inițiată de Președintele României la propunerea Guvernului, de cel puțin o pătrime din numărul deputaților sau al senatorilor, precum și de cel puțin 500.000 de cetățeni cu drept de vot."
Constitution,Ce știți despre procedura de revizuire a Constituției României?,"Proiectul sau propunerea de revizuire trebuie adoptată de Camera Deputaților și de Senat, cu o majoritate de cel puțin două treimi din numărul membrilor fiecărei Camere. Revizuirea este definitivă după aprobarea ei prin referendum, organizat în cel mult 30 de zile de la data adoptării proiectului sau a propunerii de revizuire."
Constitution,Care sunt limitele revizuirii Constituției României?,"Nu pot forma obiectul revizuirii Constituției, dispozițiile privind caracterul național, independent, unitar și indivizibil al statului român, forma republicană de guvernământ, integritatea teritoriului, independența justiției, pluralismul politic, suprimarea drepturilor și a libertăților fundamentale ale cetățenilor sau a garanțiilor acestora și limba oficială. Constituția nu poate fi revizuită pe durata stării de asediu sau a stării de urgență și nici în timp de război."
Category,Question,Answer
Culture,Primele scrieri in limba romana?,"Primele scrieri in limba romana sunt: a) Scrisoarea lui Neacsu din Campulung adresata judelui Hanăș Begner al Brasovului, in 1521. Scrisoarea a fost descoperită în arhivele Brasovului în anul 1894 și oferă informații despre împăratul Soliman al II-lea Magnificul și despre mișcările trupelor sale. b) Textele maramureșene sau rotacizante menționează patru cărți religioase: Codicele voronețean, Psaltirea scheiană, Psaltirea voronețeană și Psaltirea Hurmuzachi. Autorii lor sunt originari din Maramureș, cea ce explică fenomenul de rotacism: în cuvintele de origine latină litera „n” este înlocuită cu „r”."
Culture,Primele publicații în limba română?,"Primele publicații tipărite în limba română sunt realizate de mai mulți tipografi si calugari scoliti al XVI-lea, printre care: a) Dimitrie Liubavici, împreună cu ucenicii Opera si Petre, tiparesc in 1547 Apostolul. b) Diaconul Coresi tipărește între 1559 și 1583 nouă cărți în limba română: Întrebare creștinească, Evangheliarul, Praxul, Cazania I, Molitvenicul, Psaltirea, Cazania II, Liturghierul, Pravila Sfinților Apostoli. c) Palia de la Orăștie. Tipărită in 1582, cuprinde primele două cărți ale Vechiului Testament (Facerea și Exodul). Este unul dintre primele monumente ale limbii române literare."
Culture,Cine a fost Grigore Ureche?,"Grigore Ureche a fost un istoric, scriitor și cronicar, recunoscut ca unul dintre cei mai mari cărturari români din prima jumătate a secolului al XVII-lea. Grigore Ureche a lăsat moștenire cronica originală în limba română „Letopisețul Țării Moldovei”."
Culture,Cine a fost Miron Costin?,"Miron Costin a fost un boier, diplomat, dregător și important cronicar moldovean. Printre operele sale se numără: Letopisețul Țării Moldovei de la Aron Vodă încoace, continuare a operei lui Grigore Ureche din 1594 până în 1661, ani morții lui Ștefăniță Lupu."
Culture,Cine a fost Ion Neculce?,"Ion Neculce a fost un cronicar moldovean, mare boier, care a ocupat diferite funcții importante în perioada domniei lui Dimitrie Cantemir. Lucrarea cea mai importantă a lui Neculce este Letopisețul Țării Moldovei de la Dabija Vodă până la a doua domnie a lui Constantin Mavrocordat."
Culture,Ce știți despre Biblia de la București (1688)?,"Biblia de la București, cunoscută și sub denumirea de Biblia lui Șerban Cantacuzino, a fost prima traducere completă a Bibliei în limba română, fiind publicată la București în 1688."
Culture,Ce știți despre stilul brâncovenesc?,"Termenul stil brâncovenesc caracterizează arhitectura, artele plastice din Țara Românească din timpul domniei lui Constantin Brâncoveanu (1688-1714). Istoricii de artă caracterizează uneori stilul brâncovenesc prin analogie cu Renașterea apuseană, datorită structurilor sale clare, raționaliste, dar varietatea lui decorativă permite și folosirea termenului de Baroc brâncovenesc."
Culture,Trei scriitori români din secolul XIX?,"Trei scriitori români din secolul al XIX-lea au fost: I.L.Caragiale, Nicolae Iorga și Ion Creangă."
Culture,Cine a fost Petrache Poenaru?,"Petrache Poenaru a fost un pedagog, inventator, inginer și matematician român. Este cunoscut ca fiind inventatorul stiloului."
Culture,Cine a fost Victor Babeș?,"Victor Babeș a fost un bacteriolog și morfopatolog român, membru al Academiei Române din 1893. În colaborare cu Victor André Cornil, este autorul primului tratat de bacteriologie din lume prin care a pus bazele moderne ale acestei științe. De asemenea, Victor Babeș este fondatorul școlii românești de microbiologie."
Culture,Ce știți despre Andrei Mureșanu?,"Andrei Mureșanu, scris și Mureșanul, a fost un poet și revoluționar român din Transilvania. Poemul său „Un răsunet”, denumit ulterior „Deșteaptă-te, române!”, a devenit imn revoluționar. În 1990, „Deșteaptă-te, române!” a devenit imnul de stat al României."
Culture,Ce știți despre Mihai Eminescu?,"Mihai Eminescu a fost un scriitor, prozator și jurnalist român, socotit de cititorii români și de critica literară drept cel mai important poet din literatura română și geniul literaturii române. Cea mai importantă operă a sa este poemul „Luceafărul”."
Culture,Enumerați trei poezii ale lui Mihai Eminescu.?,"Trei poezii ale lui Mihai Eminescu sunt: Luceafărul, Lacul și Floare albastră."
Culture,Ce știți despre Vasile Alecsandri?,"Vasile Alecsandri a fost un poet, dramaturg, folclorist, om politic, ministru, diplomat, membru fondator al Academiei Române, fondator al teatrului românesc și al literaturii dramatice în România, personalitate marcantă a Moldovei și apoi a României de-a lungul întregului secol al XIX-lea. Printre operele sale se numără Ciclu Chirițelor, Volumul Poezii Poporale și proza Balta-albă."
Culture,Ce știți despre Ion Creangă?,"Ion Creangă a fost un scriitor român, recunoscut datorită măiestriei basmelor, povestilor și povestirilor sale. Ion Creangă este considerat a fi unul dintre clasicii literaturii române mai ales datorită operei sale autobiografice, Amintiri din copilărie, dar și a operelor Capra cu trei iezi și Povestea lui Harap-Alb."
Culture,Ce știți despre Ion Luca Caragiale?,"Ion Luca Caragiale a fost dramaturg, nuvelist, pamfletar, poet, scriitor, director de teatru, comentator politic și ziarist român."
Culture,Enumerați două piese de teatru scrise de Ion Luca Caragiale.?,Două piese de teatru scrise de Ion Luca Caragiale sunt: O scrisoare pierdută și D-l. Goe.
Culture,Enumerați trei pictori români.?,"Trei pictori români au fost: Nicolae Grigorescu, Ștefan Luchian și Nicolae Tonitza."
Culture,Cine a fost Nicolae Grigorescu?,"Nicolae Grigorescu este primul dintre fondatorii picturii române moderne. A devenit un simbol pentru tinerele generații de artiști care, în primele decade ale secolului XX, căutau și să identifice și să aducă la lumină valorile spiritualității românești. Este recunoscut pentru picturile realizate în Mănăstirea Căldărușani, Mănăstirea Zamfira și Mănăstirea Agapia, dar și pentru operele de artă precum Carul cu boi, Apus de soare la Barbizon și Spălătorese la râu."
Culture,Cine a fost Ștefan Luchian?,"Ștefan Luchian a fost pictor român, supranumit poetul plastic al florilor. Marele aport inovator adus de Luchian în pictura românească din acele vremuri este reprezentat de modul de transpunere a efectelor de lumină. Este recunoscut pentru operele de artă precum Două fete, Anemone, Irmocle, Albastrele."
Culture,Cine a fost Nicolae Tonitza?,"Nicolae Tonitza a fost un pictor și grafician român, născut la Bârlad, a studiat la școala națională de arte din Iași, apoi în Germania (Munchen) și Franța (Paris). Pictează peisaje, portrete și compoziții, pe care le expune în atelierul său din Montparnasse, iar în 1911 se întoarce în România fiind considerat cel mai de important pictor român în viață. Începând cu 1934 devine rectorul Academiei Belle-Arte din Iași."
Culture,Cine a fost Camil Ressu?,"Camil Ressu a fost un pictor român, care prin întreaga sa activitate artistică, pedagogică și socială, a fost una din personalitățile marcante ale artei românești. Camil Ressu a fost membru titular al Academiei Române. Este recunoscut pentru operele de artă precum Aiși, Nud, Strengarul."
Culture,Cine a fost Theodor Pallady?,"Theodor Pallady a fost un pictor român, care a studiat inițial ingineria în Germania (Dresda), însă luă în același timp și lecții de desen. Inclinația artistică i-a fost recunoscută și a fost încurajat să meargă la Paris pentru a-și perfecționa stilul. În 1940 se întoarce inapoi în România și își expune operele la Ateneul Român și la Saloanele Oficiale. Este recunoscut pentru operele de artă precum Cafe de Dame, Nud, Nataua moarta cu flori roșii."
Culture,Primul film românesc?,"In 1897, a fost filmat primul film documentar din România – Parada regală, care îl arată pe Regele Carol I în fruntea paradei. Primul film românesc fără sonor a fost pelicula Scurtmetraj apărută in 1910, iar Primul film românesc cu sonor a fost filmat în 1935 și s-a numit Bing Bang."
Culture,Scriitori români din secolul XX?,"Scriitorii români importanți din secolul XX au fost: Tudor Arghezi, Ion Barbu și Lucian Blaga."
Culture,Ce știți despre Emil Racoviță?,"Emil Racoviță a fost un savant, explorator, speolog și biolog român, considerat fondatorul bio-speologiei (studiul faunei din subteran - peșteri și pânze freatice de apă). Acesta a urmat cursurile Facultății de științe a Universității Sorbon din Paris. A efectuat expediții în Antarctica (Polul Sud), unde a studiat îndeaproape balenele și pinguinii. El a rămas în istoria științei și descoperitor al balenei cu cio."
Culture,Ce știți despre Constantin Brâncuși?,"Constantin Brâncuși a fost cel mai important sculptor român cu mari contribuții în sculptura contemporană. Acesta a studiat la Cluj și București, iar în 1903 pleacă pe jos către Paris, Franța, unde este admis la Școala Superioară Națională de Arte Frumoase. Ulterior, și-a stabilit atelierul în Paris, având expoziții în SUA, Franța și România."
Culture,Enumerați două opere ale lui Constantin Brâncuși.?,"Unele dintre cele mai cunoscute opere ale sale sunt: Coloana Infinitului, Masa tăcerii."
Culture,Ce știți despre Traian Vuia?,"Traian Vuia a fost un inventator român, pionier al aviației mondiale. Acesta urmează cursurile Universității Politehnica din Budapesta și ale Facultății de Drept, domeniu în care își dă și doctoratul. În anul 1906, a realizat primul zbor, autopropulsat, cu un aparat mai greu decât aerul. Aparatul s-a înălțat la 1m de sol pe o distanță de 12m."
Culture,Ce știți despre Aurel Vlaicu?,"Aurel Vlaicu a fost un inginer român, inventator și pionier al aviației române și mondiale. Acesta a studiat la Universitatea Politehnica din Budapesta și în Munchen, întocându-se în București unde și-a construit și testat un planor. În 1911 a reușit să treacă liniile unei încercări de a traversa Munții Carpați cu avionul Vlaicu I, s-a prăbușit în apropiere de Câmpina."
Culture,Ce știți despre Henri Coandă?,"Henri Coandă a fost academician și inginer aeronautic român, pionier al aviației, inventator al primului avion cu reacție și descoperitor al efectului Coandă (efectul de deviere al unui jet de apă în apropierea unei suprafețe curbe). A studiat atât în România Școala de Ofițeri și, ulterior, la Universitatea Tehnică din Berlin. Fiind pasionat de aeronautică, obține aprobarea de a părăsi armata și este admis la Școala Superioară de aeronautică și construcții din Paris."
Culture,Ce știți despre Anghel Saligny?,"Anghel I. Saligny a fost unul dintre întemeietorii ingineriei românești, academician, inginer constructor, ministru și pedagog român. Acesta și-a desăvârșit studiile în Germania, urmând cursurile Universității Tehnice din Berlin. Este unul dintre tehnicienii mondiali de proiectare și construcția podurilor și silozurilor cu structuri metalice, respectiv de beton armat. Este recunoscut pentru podul construit peste Dunăre, de la Fetești la Cernavodă, cel mai lung pod din Europa la momentul construcției sale."
Culture,Ce știți despre Ciprian Porumbescu?,"Ciprian Porumbescu a fost unul dintre cei mai cunoscuți și apreciați compozitori români al secolului al XIX-lea, datorită talentului său excepțional. Acesta a studiat la Conservatorul din Viena și teologie la Cernăuți. Este recunoscut ca fiind creatorul primei operete românești, Crai Nou și a scris melodia imnului național al României din perioada comunistă Trei culori."
Culture,Care este cel mai important compozitor român?,Cel mai important compozitor român a fost George Enescu.
Culture,Enumerați două compoziții ale lui George Enescu.?,Două compoziții ale lui George Enescu sunt Oedip și Poema Română.
Culture,Cine a fost Dinu Lipatti?,"Dinu Lipatti, a fost un pianist, compozitor și pedagog român. Provine dintr-o familie de artiști, mama – pianistă, iar tatăl – violonist. Acesta a urmat studiile la Conservatorul din București, fiind continuate apoi in Paris. Dinu Lipatti s-a stins din viață la 33 de ani, însă este considerat a fi cel mai important pianist român."
Culture,Cine a fost Tristan Tzara?,"Tristan Tzara este un important poet și eseist român, a fost cofondatorul mișcării culturale dadaiste, care a condus la o revoluție majoră în artele plastice și literatură."
Culture,Cine a fost Mihail Sadoveanu?,"Mihail Sadoveanu a fost un scriitor, povestitor, nuvelist, romancier și academician român. Își finalizează studiile la Liceul Național din Iași și începe cursurile la Facultatea de Drept, pe care nu o termină. El este cunoscut mai ales pentru romanele sale istorice și de aventuri, printre cele mai importante opere ale sale se enumeră Domnul Trandafir, Hanul Ancuței, Frații Jderi."
Culture,Cine a fost Lucian Blaga?,"Lucian Blaga a fost un eseist, filozof, poet, dramaturg, academician și diplomat român."
Culture,Cine a fost Tudor Arghezi?,"Tudor Arghezi a fost un scriitor român, cunoscut pentru contribuția sa la dezvoltarea liricii românești sub influența baudelairianismului. Opera sa poetică, de o originalitate exemplară, reprezintă o altă mare creație a literaturii române. A scris, între altele, teatru, proză, prozaic, precum și literatură pentru copii."
Culture,Cine a fost Liviu Rebreanu?,"Liviu Rebreanu a fost un prozator și dramaturg român, membru titular al Academiei Române. Liviu Rebreanu este cunoscut pentru operele sale care cuprind, printre altele, povestiri, nuvele, romane realiste și polițiste. A fost directorul Teatrului Național București în perioada decembre 1928, 1930 și 1940-1944."
Culture,Cine a fost Grigore Antipa?,"Grigore Antipa a fost un naturalist, biolog darwinist, zoolog, ecolog, oceanolog și profesor universitar român. Este savantul care a reorganizat Muzeul Național de Istorie Naturală în noua clădire care astăzi îi poartă numele."
Culture,Trei personalități care sunt îngropate în cimitirul Bellu?,"Trei personalități care sunt îngropate în Cimitirul Bellu sunt: Mihai Eminescu, Liviu Rebreanu și George Bacovia."
Culture,Ce știți despre Muzeul Satului?,"Muzeul Național al Satului „Dimitrie Gusti” din București este „Muzeul din inima capitalei”, care și-a deschis porțile pentru public în anul 1936 și este obiectivul cultural cel mai vizitat din România în prezent. Expoziția permanentă acoperă o suprafață de 14 ha și găzduiește monumente, obiecte și documente de arhivă referitoare la sat și viața sa tradițională."
Culture,Numiți trei muzee din București?,"Trei muzee din București sunt: Muzeul Național al Satului, Muzeul Național de Istorie Naturală “Grigore Antipa” și Muzeul Național de Artă al României."
Culture,Cine a fost George Emil Palade?,"George Emil Palade a fost un biolog, medic și om de știință american de origine română, specialist în domeniul biologiei celulare, laureat în 1974 al premiului Nobel pentru fiziologie și medicină. În 1986 i-a fost conferită în Statele Unite National Medal of Science „Medalia Națională pentru Știință” în biologie."
Culture,Enumerați trei actori români?,"Trei actori români sunt: Maia Morgenstern, Marius Manole și Adriana Trandafir."
Culture,Enumerați trei filme românești?,"Trei filme românești sunt: Neamul Șoimăreștilor, Baltagul și Mihai Viteazul."
Culture,Enumerați trei regizori români?,"Trei regizori români sunt: Constantin Radovici, Constantin Tănase și Liviu Ciulei."
Culture,Cine a fost Liviu Ciulei?,"Liviu Ciulei a fost un regizor, actor, scenograf, arhitect și profesor universitar român. A fost director artistic al Teatrului Bulandra, între anii 1963 și 1974, de unde a fost îndepărtat de cenzura comunistă. Sub conducerea sa, Teatrul Bulandra devine cea mai importantă instituție teatrală a vremii, nu doar în România."
Culture,Ce știți despre Academia Română?,"Academia Română este cel mai înalt for de știință și de cultură din România. A fost fondată la 1 aprilie 1866, sub denumirea de Societatea Literară Română, iar din anul 1879 a primit denumirea de Academia Română. Conform statutului, rolul principal al Academiei constă, printre multe altele, în cultivarea limbii și literaturii române, stabilirea normelor de ortografie obligatorii ale limbii române și studierea istoriei românești. Câteva mai reprezentative lucrări academice sunt: Dicționarul limbii române, Dicționarul explicativ al limbii române, Dicționarul general al literaturii române, Micul dicționar academic și Tratatul de istoria românilor."
Culture,Cine a fost Mircea Eliade?,"Mircea Eliade a fost un istoric al religiilor, scriitor de filosofie, filosof și profesor român la Universitatea din Chicago, din 1957, titular al catedrei de istoria religiilor. În același timp, el este autorul a 30 de volume științifice, opere literare și eseurii filozofice traduse în 18 limbi și a scrie 120 de articole și recenzii cu o tematică variată. Este membru post-mortem al Academiei Române."
Culture,Cine a fost Eugen Ionescu?,"Eugen Ionescu, cunoscut în afara României sub numele de Eugene Ionesco, conform ortografiei franceze, a fost un scriitor de limbă franceză originar din România, protagonist al teatrului absurdului și membru al Academiei Franceze."
Culture,Cine a fost Emil Cioran?,"Emil Cioran a fost un filozof și eseist român, care a publicat lucrări atât în limba română, cât și în franceză. Opera sa a fost remarcată pentru pesimismul său filosofic omniprezent și care implică frecvent cu probleme de suferință, degradare și nihilism. Printre cele mai cunoscute lucrări ale sale se numără: Pe culmile deznădejdii și Despre neajunsul de a te fi născut."
Culture,Ce știți despre Herta Muller?,"Herta Muller este o scriitoare germană de limbă germană și română, originară din România, laureată a Premiului Nobel pentru Literatură pe anul 2009."
Culture,Cine a fost Nicolae Iorga?,"Nicolae Iorga a fost un istoric, profesor universitar, enciclopedist, poet, dramaturg, critic literar, om politic, membru titular al Academiei Române. Iorga este cel mai prolific istoric al românilor, autor a numeroase sinteze, culminate cu Istoria Românilor în 10 volume, pentru care este recunoscut drept cel mai mare istoric și savant al României din toate timpurile."
Culture,Cine a fost Carol Davila?,"Carol Davila a fost un medic și farmacist român, de origine franceză, născut în Italia. A fost ales post-mortem membru al Academiei Române. Acesta a construit, din aproape în aproape, un sistem medical pe care l-a implementat cu succes în serviciul sanitar militar și civil."
Culture,Cine a fost Ana Aslan?,"Ana Aslan a fost un medic român specialist în gerontologie, academician, director al Institutului Național de Geriatrie și Gerontologie. A evidențiat importanța procainei în ameliorarea tulburărilor distrofice legate de vârstă, aplicând-o pe scară largă în clinica de geriatrie, sub numele de Gerovital. Ana Aslan a inventat (în colaborare cu farmacista Elena Polovrăgeanu) produsul geriatric Aslavital, brevetat și introdus în producția industrială în 1980."
Culture,Enumerați trei sărbători legale?,"Trei sărbători legale sunt: Ziua Națională a României, Anul Nou și Crăciunul."
Culture,Ce sunt Dragobetele?,"În fiecare an pe 24 februarie românii de pretutindeni sărbătoresc Dragobetele, sărbătoarea similară Sfântului Valentin. În mitologia românească, Dragobete era zeul tinereții, al veseliei, dar și al iubirii. Dragobete este un personaj transmis din generație în generație de la vechi dacii, transformat mai apoi într-un protector al tinerilor și patron al iubirii. Celebrarea reprezintă, de asemenea, începutul unui nou anotimp."
Culture,Ce este Mărțișorul?,"Mărțișorul este un obiect de podoabă legat de un anumit împletit dintr-un fir alb și unul roșu, care apare în tradiția românilor și a unor populații învecinate. Impreună cu mărțișorul se oferă adesea și flori timpului de primăvară, cea mai reprezentativă fiind ghiocelul."
Culture,Cine a fost Marin Preda?,Marin Preda a fost un scriitor român postbelic și director al editurii Cartea Românească. El este autorul celebrului roman „Moromeții”.
Culture,Cine a fost Marin Sorescu?,"Marin Sorescu a fost un scriitor român, membru titular al Academiei Române. Dramaturgia lui Marin Sorescu abordează cu precădere tematica teatrului poetico-parabolic în trilogia „Setea Muntelui de sare”, precum și operele Iona, Paracliserul și Matca."
Culture,Cine a fost Nichita Stănescu?,"Nichita Stănescu a fost un poet, scriitor și eseist român, ales membru post-mortem al Academiei Române. Este considerat de critica literară și de publicul larg drept unul dintre cei mai importanți scriitori de limbă română. Nichita Stănescu aparține neo-modernismului românesc."
Culture,Cine a fost Sergiu Celibidache?,"Sergiu Celibidache a fost un dirijor și compozitor român, membru de onoare al Academiei Române."
Culture,Ce știți despre Angela Gheorghiu?,"Angela Gheorghiu este o soprană română, una dintre cele mai renumite cântărețe de operă din lume."
Culture,Obiceiuri și tradiții de Crăciun?,"Obiceiuri și tradiții de Crăciun sunt: colindatul, masa de Crăciun, împodobitul bradului în ajunul Crăciunului."
Culture,Obiceiuri și tradiții de Paște?,"Obiceiuri și tradiții de Paște sunt: vopsirea ouălor în roșu, mersul în noaptea de Înviere la biserică pentru a lua lumină, gătitul de pască și miel."
Culture,Obiceiuri și tradiții de Anul Nou?,"Obiceiuri și tradiții de Anul Nou sunt: colindatul cu sorcova, colindatul cu ursul/capra."
Culture,Ce sărbătoare legală este pe data de 1 Mai?,Pe data de 1 Mai este Ziua Muncii.
Culture,Ce sărbătoare legală este pe data de 1 Iunie?,Pe data de 1 Iunie este Ziua Copilului.
Culture,Ce sărbători legale sunt 1 și 2 ianuarie?,Pe 1 și 2 ianuarie sărbătorim Anul Nou și a doua zi după Anul Nou.
Culture,Ce sărbătoare legală este pe data de 24 Ianuarie?,Pe data de 24 Ianuarie sărbătorim Ziua Unirii Principatelor Române.
Culture,Ce sărbătoare legală este pe data de 15 august?,Pe data de 15 august sărbătorim Adormirea Maicii Domnului.
Culture,Ce sărbătoare legală este pe data de 30 noiembrie?,Pe data de 30 noiembrie sărbătorim Sfântul Andrei.
Culture,Care este Ziua Națională a României?,Ziua Națională a României este 1 decembrie.
Culture,Ce sărbători legale sunt în 25 și 26 decembrie?,În 25 și 26 decembrie sărbătorim Crăciunul și a doua zi de Crăciun.
Culture,Ce sărbătoare pe data de 15 ianuarie?,"Pe data de 15 ianuarie sărbătorim Ziua Culturii Naționale, fiind și data de naștere a marelui poet român, Mihai Eminescu."
Culture,Ce sărbătoare pe data de 9 mai?,"Pe data de 9 mai sărbătorim Ziua Independenței, când România devine stat independent, Ziua Europei, atât cât și Ziua Victoriei, care marchează semnarea actului de capitulare de către Germania nazistă."
Culture,Numiți trei sportivi români de renume internațional?,"Trei sportivi români de renume internațional sunt: Nadia Comăneci, Gheorghe Hagi și Ilie Năstase."
Culture,Numiți trei cluburi sportive din România?,"Trei cluburi sportive din România sunt: FCSB, Dinamo și CSM București."
Culture,Numiți trei zone folclorice românești?,"Trei zone folclorice românești sunt următoarele: Banat, Dobrogea, Moldova."
Culture,Mâncăruri specifice românești de Crăciun?,"Mâncăruri specifice românești de Crăciun sunt: sarmalele, caltaboșul, piftia, cozonacul."
Culture,Mâncăruri specifice românești de Paște?,"Mâncăruri specifice românești de Paște sunt: cozonacul, pasca, drobul, sarmalele, caltaboșul, piftia."
Culture,Feluri de mâncare tipic românești?,"Feluri de mâncare tipic românești sunt: mămăliga, mici, telemeaua, sarmalele, ciorba de burtă."
Culture,Ce știți despre Biserica Neagră din Brașov?,"Biserica Neagră este o biserică situată în centrul municipiului Brașov. Clădirea gotică a fost parțial avariată în incendiul din 1689, când zidurile ei s-au înnegrit și a primit numele actual."
Culture,Ce este Ignatul?,"În fiecare an, pe 20 decembrie, în România se sărbătorește Ignatul, ziua în care au loc următoarele activități: tăierea porcului, urmată de sortarea și prepararea specialităților pentru apropiațele sărbători de Crăciun."
Culture,Ce știți despre Dragobete?,"În mitologia românească, Dragobete era tineretii, al veseliei, dar și al iubirii."
Culture,Ce știți despre Mărțișor?,"Originile mărțișorului nu sunt cunoscute exact. Este considerat a avea origini daco-tracice datorită prezenței sale atât la români cât și la bulgari, sub numele de Martenița."
Culture,Ce știți despre Călușari?,"Călușarii reprezintă participații la dansul Călușului, dans tradițional românesc, prezent de pe timpuri atât in Moldova, Oltenia, cât și în Transilvania."
Culture,Ce știți despre colinde?,"Colindele sunt cântece tradiționale românești, anume felicitări (urări) în versuri de Crăciun. Colindele sunt legate de obiceiul colindatului."
Culture,Ce știți despre obiceiul împodobirii bradului?,"Pomul (sau Bradul) de Crăciun este de obicei un conifer decorat, asociat cu celebrarea Crăciunului. Este adus în case și decorat cu lumini de Crăciun în Ajun de Crăciun, pe 24 decembrie. Un înger sau o stea poate fi pusă în vârful pomului, reprezentând îngerul sau steaua de la Betleem."
Culture,Ce știți despre Palatul Mogosoaia?,"Piatră de temelie a monumentului istoric a fost pusă de către domnitorul Constantin Brâncoveanu în anul 1698 pentru ca mai târziu, la data de 20 septembrie 1702, clădirea să fie finalizată. Monument istoric cu arhitectură deosebită, Palatul Mogoșoaia, a suferit de-a lungul timpului multiple distrugeri și a fost întrebuițat în diferite moduri, în funcție de conducătorii acestuia."
Culture,Ce știți despre Palatul Brukenthal?,"Palatul Brukenthal din Sibiu este un palat construit între anii 1778–1788 în orașul Sibiu de baronul Samuel von Brukenthal. El a fost înălțat în etape, cu scopul de a fi reședință oficială a baronului von Brukenthal și sediul al colecțiilor sale. In prezent Palatul Brukenthal adăpostește Galeria de Artă și Biblioteca Muzeului Național Brukenthal, unde se află cele mai valoroase colecții de picturi baroce din centrul și estul Europei."
